date,C,C#,Java,Rust
2011-08-03,17.39,6.04,19.41,0.01
2011-09-10,18,6.82,18.76,0.01
2011-10-09,17.71,6.72,17.91,0.01
2011-11-07,17.32,7.32,17.87,0.01
2011-12-04,17.06,8.21,17.56,0.01
2012-01-08,16.97,8.76,17.47,0.01
2012-02-05,16.52,8.65,17.05,0.02
2012-03-11,17.09,8.24,17.11,0
2012-04-08,17.55,7.35,17.03,0
2012-05-09,17.35,6.82,16.6,0.01
2012-06-10,17.72,7.03,16.26,0.01
2012-07-04,18.33,6.67,16.09,0
2012-08-10,18.94,6.59,16.35,0
2012-09-02,19.3,6.6,16.27,0
2012-10-05,19.82,6.53,17.19,0
2012-11-04,19.22,5.59,17.46,0
2012-12-02,18.7,5.55,17.57,0
2013-01-05,17.85,6.2,17.42,0.01
2013-02-08,17.08,6.68,18.39,0
2013-03-11,17.14,6.6,18.16,0
2013-04-07,17.86,6.15,17.68,0.01
2013-05-08,18.73,6.12,16.91,0.02
2013-06-09,17.81,5.78,16.66,0.02
2013-07-07,17.63,6.21,15.91,0.05
2013-07-12,17.63,6.21,15.91,0.05
2013-08-04,15.97,6.12,15.98,0.04
2013-09-11,16.98,5.56,16.15,0.03
2013-10-10,17.25,5.72,16.11,0.03
2013-11-09,18.16,6.02,16.52,0.03
2013-12-06,17.89,5.62,17.31,0.01
2014-01-01,17.94,5.85,16.52,0.02
2014-02-08,18.33,6.45,17.32,0.03
2014-03-03,17.53,5.57,16.41,0.02
2014-04-10,17.63,4.82,17.35,0.04
2014-05-07,16.93,3.75,16.91,0.03
2014-06-08,16.19,3.94,16.11,0.06
2014-07-06,17.14,4.05,15.69,0.05
2014-08-11,16.4,3.41,14.98,0.05
2014-09-01,16.72,4.35,14.14,0.05
2014-10-03,17.66,4.75,13.51,0.05
2014-11-08,17.47,4.98,14.39,0.06
2014-12-07,17.59,4.33,14.96,0.11
2015-01-06,16.7,5.05,15.53,0.04
2015-02-05,16.49,5.74,15.34,0.05
2015-03-07,16.64,4.92,15.58,0.05
2015-04-13,15.75,4.95,16.04,0.07
2015-05-13,16.85,5.26,16.87,0.09
2015-06-06,16.79,5.06,17.82,0.14
2015-07-12,16.15,5.65,17.73,0.12
2015-08-06,14.73,4.84,19.27,0.14
2015-09-05,15.62,4.91,19.56,0.2
2015-10-04,16.19,4.82,19.54,0.2
2015-11-07,17.15,4.32,20.4,0.19
2015-12-04,16.46,4.11,20.97,0.22
2016-01-02,16.04,4.71,21.47,0.19
2016-02-02,15.59,4.4,21.14,0.2
2016-03-03,14.6,4.27,20.53,0.21
2016-04-07,13.91,3.8,20.85,0.19
2016-05-06,13.22,4.48,20.96,0.23
2016-06-05,12.38,3.79,20.79,0.26
2016-07-04,12.24,3.92,19.8,0.24
2016-08-06,11.3,4.91,19.01,0.25
2016-09-08,10.95,5.49,18.24,0.26
2016-10-07,9.84,4.37,18.8,0.3
2016-11-05,9.2,3.66,18.75,0.29
2016-12-04,8.73,3.17,17.86,0.32
2017-01-07,9.35,4.04,17.28,0.31
2017-02-08,8.44,4.9,16.68,0.36
2017-03-07,7.74,4.41,16.38,0.38
2017-04-09,6.97,3.58,15.57,0.37
2017-05-06,7,3.46,14.64,0.41
2017-06-03,6.85,3.53,14.49,0.48
2017-07-07,7.32,3.52,13.77,0.46
2017-08-02,6.48,4.2,12.96,0.36
2017-09-06,7.38,4.78,12.69,0.42
2017-10-05,8.37,3.86,12.43,0.41
2017-11-12,9.29,3.01,13.23,0.7
2017-12-09,10.16,2.82,13.27,0.53
2018-01-03,11.04,3.75,14.22,0.23
2018-02-08,11.86,4.45,14.99,0.2
2018-03-07,12.76,5.07,14.94,0.12
2018-04-01,13.59,5.27,15.78,0.13
2018-05-06,14,4.4,16.38,0.21
2018-06-10,14.94,4.31,15.37,0.26
2018-07-07,14.66,3.79,16.14,0.27
2018-08-01,14.97,3.54,16.88,0.27
2018-09-03,15.45,3.3,17.44,0.4
2018-10-05,15.38,3.49,17.8,0.28
2018-11-08,14.4,3.95,16.75,0.25
2018-12-02,14.28,3.45,15.93,0.3
2019-01-04,13.34,3.28,16.9,0.36
2019-02-06,12.42,2.85,15.88,0.23
2019-03-02,13.31,3.27,14.88,0.31
2019-04-07,14.08,3.52,15.04,0.34
2019-05-04,14.24,3.98,16,0.34
2019-06-09,13.3,4.48,15,0.26
2019-07-06,14.21,4.36,15.06,0.34
2019-08-05,15.15,3.84,16.03,0.45
2019-09-09,15.21,3.4,16.66,0.36
2019-10-05,16.18,3.86,16.88,0.36
2019-11-03,16.04,4.32,16.25,0.51
2019-12-06,16.09,4.8,17.25,0.37
2020-01-05,15.77,5.35,16.9,0.39
2020-02-04,16.77,5.93,17.36,0.35
2020-03-04,16.33,5.32,17.78,0.37
2020-04-02,16.72,4.74,16.73,0.52
2020-05-02,17.07,4.29,16.28,0.7
2020-06-01,17.19,4.73,16.1,0.64
2020-07-04,16.45,5.25,15.1,0.7
2020-08-02,16.98,4.68,14.43,0.74
2020-09-06,15.95,4.58,13.48,0.92
2020-10-04,16.95,4.16,12.56,0.68
2020-11-03,16.21,4.67,11.68,0.58
2020-12-03,16.48,4.2,12.53,0.78
2021-01-02,17.38,3.95,11.96,0.61
2021-02-06,16.34,4.44,11.29,0.49
2021-03-04,15.33,4.97,10.45,0.55
2021-04-04,14.32,4.91,11.23,0.49
2021-05-02,13.38,4.41,11.74,0.66
2021-06-05,12.54,4.33,11.54,0.47
2021-07-04,11.63,4.84,11.2,0.49
2021-08-03,12.57,5.14,10.43,0.56
2021-09-11,11.83,5.78,11.12,0.57
2021-10-06,11.16,5.26,10.46,0.53
2021-11-06,10.72,6.06,10.72,0.54
2021-12-05,11.8,6.4,10.12,0.45
2022-01-01,12.44,5.68,10.66,0.5
2022-02-02,14.08,5.37,12.13,0.54
2022-03-02,13.06,5.92,11.19,0.51
2022-04-05,12.71,6.82,10.82,0.44
2022-05-03,11.59,6.39,10.99,0.39
2022-06-04,11.91,6.12,10.47,0.52
2022-07-02,13.13,5.65,11.59,0.42
2022-08-02,14.76,5.41,12.46,0.57
2022-09-01,13.96,4.88,11.72,0.51
2022-10-01,15.21,4.42,12.84,0.7
2022-11-01,15.08,4.25,11.98,0.75
2022-12-02,16.56,4.92,11.82,0.68
2022-12-29,16.26,5.73,12.21,0.61
2023-02-01,15.39,6.38,13.21,0.7
2023-03-02,14.73,7.17,13.56,0.73
2023-04-01,14.41,8.21,13.23,0.63
2023-05-02,13.35,7.43,12.22,0.82
2023-06-02,12.37,6.71,11.28,0.91
2023-07-02,11.56,6.87,10.5,0.89
2023-08-04,11.41,7.04,10.33,0.89
2023-09-02,11.27,7.31,9.49,0.97
2023-10-04,12.08,7.71,8.92,0.91
2023-11-02,11.77,7.65,8.35,0.91
2023-12-04,11.44,7.3,7.99,0.8
2024-01-02,11.44,7.16,7.87,0.79
2024-02-02,10.97,7.53,8.88,1.05
2024-03-01,11.17,7.54,8.95,1.03
2024-04-03,10.21,6.77,8.94,1.03
2024-05-01,9.98,6.49,8.69,0.93
2024-06-01,9.23,6.65,8.4,1.17
2024-07-03,9.48,6.72,8.59,1.18
2024-08-01,9.17,6.39,9.16,1.28
2024-09-01,8.89,6.08,9.45,1.32
2024-10-02,8.38,5.62,10.51,1.45
2024-11-01,9.01,4.98,9.6,1.17
2024-12-01,9.1,4.87,9.72,1.29
2025-01-01,8.86,4.45,10.15,1.16
2025-02-01,9.84,4.12,10.66,1.47
2025-03-03,9.53,4.87,10.36,1.23
2025-04-01,9.94,4.39,9.63,0.96
2025-05-02,9.71,4.22,9.31,0.94
2025-06-01,9.47,4.69,8.84,0.97
2025-07-02,9.65,4.87,8.76,1.01
2025-08-02,9.03,5.52,8.59,1.13
2025-09-02,8.65,6.38,8.35,1.01
2025-10-02,9.29,6.94,8.35,1.19
2025-11-01,9.68,7.65,8.54,1.39
2025-12-02,10.11,7.26,8.7,1.3
2026-01-01,10.99,7.39,8.71,1.51
2026-02-01,11.05,6.83,8.12,1.32
2026-03-01,11.55,6.36,7.99,1.31
2026-04-03,12.34,5.98,7.79,1.09
2026-05-02,11.55,5.41,7.94,1.14
2026-06-04,10.77,4.85,7.9,1.26
2026-07-03,10.86,4.49,8.03,1.34
2026-08-03,11.1,4.09,8.25,1.45
