date,language,rating
2013-02-08,Java,18.39
2013-03-11,C,17.14
2013-03-11,Java,18.16
2013-04-07,C,17.86
2013-04-07,Java,17.68
2013-05-08,C,18.73
2013-05-08,Java,16.91
2013-06-09,C,17.81
2013-06-09,Java,16.66
2013-07-07,C,17.63
2013-07-07,Java,15.91
2013-07-12,C,17.63
2013-07-12,Java,15.91
2013-08-04,C,15.97
2013-08-04,Java,15.98
2013-09-11,C,16.98
2013-09-11,Java,16.15
2013-10-10,C,17.25
2013-10-10,Java,16.11
2013-11-09,C,18.16
2013-11-09,Java,16.52
2013-12-06,C,17.89
2013-12-06,Java,17.31
2014-01-01,C,17.94
2014-01-01,Java,16.52
2014-02-08,C,18.33
2014-02-08,Java,17.32
2014-03-03,C,17.53
2014-03-03,Java,16.41
2014-04-10,C,17.63
2014-04-10,Java,17.35
2014-05-07,C,16.93
2014-05-07,Java,16.91
2014-06-08,C,16.19
2014-06-08,Java,16.11
2014-07-06,C,17.14
2014-07-06,Java,15.69
2014-08-11,C,16.4
2014-08-11,Java,14.98
2014-09-01,C,16.72
2014-09-01,Java,14.14
2014-10-03,C,17.66
2014-10-03,Java,13.51
2014-11-08,C,17.47
2014-11-08,Java,14.39
2014-12-07,C,17.59
2014-12-07,Java,14.96
2015-01-06,C,16.7
2015-01-06,Java,15.53
2015-02-05,C,16.49
2015-02-05,Java,15.34
2015-03-07,C,16.64
2015-03-07,Java,15.58
2015-04-13,C,15.75
2015-04-13,Java,16.04
2015-05-13,C,16.85
2015-05-13,Java,16.87
2015-06-06,C,16.79
2015-06-06,Java,17.82
2015-07-12,C,16.15
2015-07-12,Java,17.73
2015-08-06,C,14.73
2015-08-06,Java,19.27
2015-09-05,C,15.62
2015-09-05,Java,19.56
2015-10-04,C,16.19
2015-10-04,Java,19.54
2015-11-07,C,17.15
2015-11-07,Java,20.4
2015-12-04,C,16.46
2015-12-04,Java,20.97
2016-01-02,C,16.04
2016-01-02,Java,21.47
2016-02-02,C,15.59
2016-02-02,Java,21.14
2016-03-03,C,14.6
2016-03-03,Java,20.53
2016-04-07,C,13.91
2016-04-07,Java,20.85
2016-05-06,C,13.22
2016-05-06,Java,20.96
2016-06-05,C,12.38
2016-06-05,Java,20.79
2016-07-04,C,12.24
2016-07-04,Java,19.8
2016-08-06,C,11.3
2016-08-06,Java,19.01
2016-09-08,C,10.95
2016-09-08,Java,18.24
2016-10-07,C,9.84
2016-10-07,Java,18.8
2016-11-05,C,9.2
2016-11-05,Java,18.75
2016-12-04,C,8.73
2016-12-04,Java,17.86
2017-01-07,C,9.35
2017-01-07,Java,17.28
2017-02-08,C,8.44
2017-02-08,Java,16.68
2017-03-07,C,7.74
2017-03-07,Java,16.38
2017-04-09,C,6.97
2017-04-09,Java,15.57
2017-05-06,C,7
2017-05-06,Java,14.64
2017-06-03,C,6.85
2017-06-03,Java,14.49
2017-07-07,C,7.32
2017-07-07,Java,13.77
2017-08-02,C,6.48
2017-08-02,Java,12.96
2017-09-06,C,7.38
2017-09-06,Java,12.69
2017-10-05,C,8.37
2017-10-05,Java,12.43
2017-11-12,C,9.29
2017-11-12,Java,13.23
2017-12-09,C,10.16
2017-12-09,Java,13.27
2018-01-03,C,11.04
2018-01-03,Java,14.22
2018-02-08,C,11.86
2018-02-08,Java,14.99
2018-03-07,C,12.76
2018-03-07,Java,14.94
2018-04-01,C,13.59
2018-04-01,Java,15.78
2018-05-06,C,14
2018-05-06,Java,16.38
2018-06-10,C,14.94
2018-06-10,Java,15.37
2018-07-07,C,14.66
2018-07-07,Java,16.14
2018-08-01,C,14.97
2018-08-01,Java,16.88
2018-09-03,C,15.45
2018-09-03,Java,17.44
2018-10-05,C,15.38
2018-10-05,Java,17.8
2018-11-08,C,14.4
2018-11-08,Java,16.75
2018-12-02,C,14.28
2018-12-02,Java,15.93
2019-01-04,C,13.34
2019-01-04,Java,16.9
2019-02-06,C,12.42
2019-02-06,Java,15.88
2019-03-02,C,13.31
2019-03-02,Java,14.88
2019-04-07,C,14.08
2019-04-07,Java,15.04
2019-05-04,C,14.24
2019-05-04,Java,16
2019-06-09,C,13.3
2019-06-09,Java,15
2019-07-06,C,14.21
2019-07-06,Java,15.06
2019-08-05,C,15.15
2019-08-05,Java,16.03
2019-09-09,C,15.21
2019-09-09,Java,16.66
2019-10-05,C,16.18
2019-10-05,Java,16.88
2019-11-03,C,16.04
2019-11-03,Java,16.25
2019-12-06,C,16.09
2019-12-06,Java,17.25
2020-01-05,C,15.77
2020-01-05,Java,16.9
2020-02-04,C,16.77
2020-02-04,Java,17.36
2020-03-04,C,16.33
2020-03-04,Java,17.78
2020-04-02,C,16.72
2020-04-02,Java,16.73
2020-05-02,C,17.07
2020-05-02,Java,16.28
2020-06-01,C,17.19
2020-06-01,Java,16.1
2020-07-04,C,16.45
2020-07-04,Java,15.1
2020-08-02,C,16.98
2020-08-02,Java,14.43
2020-09-06,C,15.95
2020-09-06,Java,13.48
2020-10-04,C,16.95
2020-10-04,Java,12.56
2020-11-03,C,16.21
2020-11-03,Java,11.68
2020-12-03,C,16.48
2020-12-03,Java,12.53
2021-01-02,C,17.38
2021-01-02,Java,11.96
2021-02-06,C,16.34
2021-02-06,Java,11.29
2021-03-04,C,15.33
2021-03-04,Java,10.45
2021-04-04,C,14.32
2021-04-04,Java,11.23
2021-05-02,C,13.38
2021-05-02,Java,11.74
2021-06-05,C,12.54
2021-06-05,Java,11.54
2021-07-04,C,11.63
2021-07-04,Java,11.2
2021-08-03,C,12.57
2021-08-03,Java,10.43
2021-09-11,C,11.83
2021-09-11,Java,11.12
2021-10-06,C,11.16
2021-10-06,Java,10.46
2021-11-06,C,10.72
2021-11-06,Java,10.72
2021-12-05,C,11.8
2021-12-05,Java,10.12
2022-01-01,C,12.44
2022-01-01,Java,10.66
2022-02-02,C,14.08
2022-02-02,Java,12.13
2022-03-02,C,13.06
2022-03-02,Java,11.19
2022-04-05,C,12.71
2022-04-05,Java,10.82
2022-05-03,C,11.59
2022-05-03,Java,10.99
2022-06-04,C,11.91
2022-06-04,Java,10.47
2022-07-02,C,13.13
2022-07-02,Java,11.59
2022-08-02,C,14.76
2022-08-02,Java,12.46
2022-09-01,C,13.96
2022-09-01,Java,11.72
2022-10-01,C,15.21
2022-10-01,Java,12.84
2022-11-01,C,15.08
2022-11-01,Java,11.98
2022-12-02,C,16.56
2022-12-02,Java,11.82
2022-12-29,C,16.26
2022-12-29,Java,12.21
2023-02-01,C,15.39
2023-02-01,Java,13.21
2023-03-02,C,14.73
2023-03-02,Java,13.56
2023-04-01,C,14.41
2023-04-01,Java,13.23
2023-05-02,C,13.35
2023-05-02,Java,12.22
2023-06-02,C,12.37
2023-06-02,Java,11.28
2023-07-02,C,11.56
2023-07-02,Java,10.5
2023-08-04,C,11.41
2023-08-04,Java,10.33
2023-09-02,C,11.27
2023-09-02,Java,9.49
2023-10-04,C,12.08
2023-10-04,Java,8.92
2023-11-02,C,11.77
2023-11-02,Java,8.35
2023-12-04,C,11.44
2023-12-04,Java,7.99
2024-01-02,C,11.44
2024-01-02,Java,7.87
2024-02-02,C,10.97
2024-02-02,Java,8.88
2024-03-01,C,11.17
2024-03-01,Java,8.95
2024-04-03,C,10.21
2024-04-03,Java,8.94
2024-05-01,C,9.98
2024-05-01,Java,8.69
2024-06-01,C,9.23
2024-06-01,Java,8.4
2024-07-03,C,9.48
2024-07-03,Java,8.59
2024-08-01,C,9.17
2024-08-01,Java,9.16
2024-09-01,C,8.89
2024-09-01,Java,9.45
2024-10-02,C,8.38
2024-10-02,Java,10.51
2024-11-01,C,9.01
2024-11-01,Java,9.6
2024-12-01,C,9.1
2024-12-01,Java,9.72
2025-01-01,C,8.86
2025-01-01,Java,10.15
2025-02-01,C,9.84
2025-02-01,Java,10.66
2025-03-03,C,9.53
2025-03-03,Java,10.36
2025-04-01,C,9.94
2025-04-01,Java,9.63
2025-05-02,C,9.71
2025-05-02,Java,9.31
2025-06-01,C,9.47
2025-06-01,Java,8.84
2025-07-02,C,9.65
2025-07-02,Java,8.76
2025-08-02,C,9.03
2025-08-02,Java,8.59
2025-09-02,C,8.65
2025-09-02,Java,8.35
2025-10-02,C,9.29
2025-10-02,Java,8.35
2025-11-01,C,9.68
2025-11-01,Java,8.54
2025-12-02,C,10.11
2025-12-02,Java,8.7
2026-01-01,C,10.99
2026-01-01,Java,8.71
2026-02-01,C,11.05
2026-02-01,Java,8.12
2026-03-01,C,11.55
2026-03-01,Java,7.99
2026-04-03,C,12.34
2026-04-03,Java,7.79
2026-05-02,C,11.55
2026-05-02,Java,7.94
2026-06-04,C,10.77
2026-06-04,Java,7.9
2026-07-03,C,10.86
2026-07-03,Java,8.03
2026-08-03,C,11.1
2026-08-03,Java,8.25
